review,sentiment,acting,storyline,emotional arousal,cinematography,soundtrack,directing,background setting,editing
"This is the biggest load of crap that I have seen in a long time. The last time I hated a movie so much was whilst watching ""28 Days later"" and ""Magnolia"". There is absolutely no point to this movie, except to see some really sick and twisted sex/rape scenes, Gillian Anderson relieving herself on the side of the road, and every single sentence of dialog having to use the ""F"" word at least a couple of times in it. It has extremely cheap acting and is very low budget. My friend and I eventually turned off the movie after about half an hour. We had tried to give it a chance, but nothing could save this crud. DO NOT WATCH IT!!!",Negative,Negative,Negative,Negative,unknown,unknown,Negative,unknown,unknown
This movie is one of my all-time favorites. I think that Sean Penn did a great job acting. It is one of the few true stories that made it to film that I really like. It is in my top 10 films of all-time. I watch it over and over and never get tired of it. Great movie!,Positive,Positive,Positive,Positive,unknown,Positive,unknown,Positive,unknown
"I love all types of films, especially horror. That being said, Survival does not live up to ANY of the hype surrounding it.<br /><br />I can't give it any points on originality. There is nothing wrong with exploring the same themes, or remaking what others have done. It has just become a cop out for indie films to take us on a slasher journey through the woods, a crazed killer, and as of lately, throw in some crazy family. On those lines I have to compare it with the likes of Texas Chainsaw, Wrong Turn (though the twist in that one is obvious), and others. Survival falls up way short against comparable films. The plot was just not original in ANY way. Some films can get by with a weak (and way over-done) plot with superb acting, special fx, or a slew of other factors. Survivial doesn't have any of that to bank on. If you will, note the following: The acting in the movie never took off. I don't knock or blame the actors for that, nor the director. The dialogue was at best mediocre, and the actors involved never showed (not saying didn't HAVE) the talent to pull it off. I mention 2 standouts. The leading man in this film certainly has the look, but I seriously thinks he needs to consider more training before he is ready to carry a film. The actor who portrayed Greg also had potential, but we never got to see any of it (watch the movie to see why, you won't believe it..).<br /><br />The grainy film look. Ah yes, that little tid-bit of film making magic designed to take us to the glory days of ""Grindhouse"" films. In today's film making, that has become a gimmick. It either works or it doesn't. In this case it just does not work. There are too many other flaws going on, so it winds up distracting from the film, not adding to it. That being said, I think they did a good job of adding that grain. That is some good, quality grain. I think with a different script, better direction, and possibly actors, they should try another ""Grindhouse"" attempt. They will probably pull it off.<br /><br />As far as the tech aspects, in my opinion, they never quite gelled for me either. Better care could have been taken with audio (sounds like it was fed directly into the camera, but there is nothing wrong with that) and for being shot on DV, it was too soft for my taste.<br /><br />That is all I have to say about that.....",Negative,Negative,Negative,unknown,unknown,unknown,Negative,unknown,unknown
"Psychotic transsexual Bobbi murders the patient (Angie Dickinson) of a prominent doctor (Michael Caine) and then pursues the high-priced prostitute (Nancy Allen) who caught a glimpse of Bobbi in the elevator. Liz (Allen) comes under suspicion of the crime and teams up with the patient's son (Keith Gordon) to catch the killer.<br /><br />It can be summed up in a couple of words: it's very sexy (Dickinson and Allen look great), it's very bloody - with the kind of gore usually reserved for splatter movies, and boy is it well crafted. Writer / director De Palma's script is OK but it really takes a backseat to the man's film-making abilities. It is highly successful on a visceral level and I actually get involved / interested with these characters. I can notice the standard De Palma homages to / ripoffs of Hitchcock - at least from one of the Master's pictures.<br /><br />And to top it all off, it has a professional and believable cast.<br /><br />This was De Palma's third movie with ex-wife Nancy Allen (after ""Carrie"" and ""Home Movies"".)<br /><br />By the way, dancer-turned-actress Rachel Ticotin was one of the production assistants. There's a bit of trivia for you.<br /><br />I wouldn't think a thriller could be classy and bloody at the same time but this picture pulls it off.<br /><br />One of the best things about it is a typically striking Pino Donaggio music score.<br /><br />8/10",Positive,Positive,Positive,Positive,unknown,Positive,Positive,unknown,Positive
"Yes, The Southern Star features a pretty forgettable title tune sung by that heavy set crooner Matt Monro. It pretty much establishes the tone for this bloated and rather dull feature, stunningly miscast with George Segal and Ursula Andress as an adventurous couple in search of a large diamond. Add in Harry Andrews (with a strange accent, no less) chasing an ostrich, tons of stock footage of wildlife, and poorly composed and dull photography by Raoul Coutard, and you end up with a thoroughly unexciting romp through the jungles of Senegal.",Negative,Negative,Negative,Negative,Negative,Negative,unknown,Negative,unknown
"The acting made you feel like you were watching a kindergarten play. The story is full of holes and gaps and skips around so you have no idea as to what just happened. Half the scenes are pointless. There is not an inkling of character development. The score/soundtrack consists of about three songs one in particular is played in about 70% of the scenes. I'm glad I only rented the movie yet I still feel cheated. Avoid this movie at all costs unless you want to see some decent actors give horrible performances. It seems like the bulk of the budget was spent on putting a few name brand actors in this less than bad film. This movie is equivalent to visiting a strip club, it tries to get you excited and interested but just as you think something is going to happen your thrown into some unrelated scene and left trying to figure out how you arrived there.",Negative,Negative,Negative,Negative,unknown,Negative,Negative,unknown,Negative
"Adam Jones has a brilliant sense of humor. There is nothing i didn't like about this film. Cross Eyed was beautifully shot. Adam does a great job of, not only developing the main characters, but also the minor characters. <br /><br />Cross Eyed gives hope to every low budget film out there. That you don't have to spend a lot to create something worth watching. There is something to like for everyone. If you've had a terrible roommate. if you've ever picked on a dork in high school. if you've ever parked anywhere in the city. if you have any type of sense of humor at all you will love this film. This is the type of film that will be around for a long time and ends up resurfacing again once Adam makes a bigger name for himself. I look forward to Adam's future projects.",Positive,Positive,Positive,Positive,Positive,unknown,Positive,Positive,unknown
"i was kinda interested in this movie as a trashy cannibal flick. i was thoroughly disappointed. it was the same kind of disappointment i felt watching 'friday the 13th: jason takes manhattan'. so much potential wasted!<br /><br />the opening scene is a decent attention grabber. then it grinds to a halt. copious breasts and egregious 80s fashion cannot help this movie. the only things eating near this island of cannibal monks are the piranha! i'm not asking for 'cannibal holocaust' level of gore, but i was looking for cheap over-the-top exploitative gore. i got none of that.<br /><br />i found a couple parts of the fight scenes somewhat intriguing, hence the 2 stars. i don't think its really worth the time it takes to watch it, though. i could see showing it at a party where nobody cares about what is going on and you just want something on in the background. but i would not tell anyone, ""oh, dude, you GOTTA see this movie."" it is neither good enough nor bad enough to warrant much attention.",Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown
"Delirious, near plot-less mood piece and if it's more LSD inspired than the Devil then we must remember when it was made! After a startling SM opening (which even itself is not what it seems) we move to soft focus and dream or imaginings or remembering. Lots of literary and cinematic references and indeed this is the Franco film that Lang himself praised. Beautiful and mesmerising the film unfolds at a leisurely pace but has a richness within each fold. A rare movie to languish within. Old Jess could make 'em when he tried. Fine central performances too including the indomitable Jack Taylor and Howard Vernon. I haven't even mentioned the Lisbon locations - ah!",Positive,Positive,unknown,unknown,Positive,unknown,Positive,unknown,unknown
"This is a great German slasher, that's often quite suspenseful, and creative, with a fun story and solid performances. All the characters are cool, and Benno Fürmann is great as the psycho killer, plus Franka Potente gives a fantastic performance as the main lead. It did take a little while to get going, but it was never boring, and it had some good death scenes as well, plus the music is wonderfully creepy. I was lucky enough to get the subtitled version, instead of the dubbed, and I thought all the characters were quite likable, plus it's very well made and written as well. It has some really good plot twists too, and the effects are extremely well done, plus the ending is great. The finale is especially suspenseful, and Franka Potente was the perfect casting choice in my opinion, plus I wish Arndt Schwering-Sohnrey(David) didn't get killed of so soon, because he was a really cool character. There were actually a couple of moments where I felt uncomfortable but in a good way, and I must say this film deserved all it's praise, plus while it does have plot holes, it's not enough to hamper the film. This is a great German slasher, that's often quite suspenseful, and creative, with a fun story, and solid performances, I highly recommend this one!. The Direction is great!. Stefan Ruzowitzky does a great! Job here with excellent camera work, very good angles, great close ups (see the opening sex scene), doing a great job of adding creepy atmosphere, and just keeping the film at a very fast pace.<br /><br />There is quite a bit of blood and gore. We get cadavers cut open,plenty of very gory surgery scenes,lots of bloody stabbings,people are dissected while still being conscious, severed finger, self mutilation, gutting's, bloody slit throat, lots of wicked looking frozen corpses, plenty of blood and more.<br /><br />The Acting is very solid!. Franka Potente is fantastic as the main lead, she was very likable, remained cool under pressure, was vulnerable, easy on the eyes, and we are able to care for her character, the only time she seemed to suffer, was when she had to spurt out some bad dialog here and there, but that wasn't very often, she was wonderful!. Benno Fürmann is excellent as the psycho killer, he was simply chilling, and wonderfully OTT, he really gave me the creeps, and was one effective killer!. Anna Loos played her role very well, as the smart slut, I dug her. Sebastian Blomberg was great here as Caspar, he was quite likable, and had a mysterious character,his chemistry with Potente was also on, and there was a great twists involving him at the end. Holger Speckhahn was good as the Idiot Phil and did his job well. Traugott Buhre is good as Prof. Grombek. Arndt Schwering-Sohnrey was great as David, he had a really cool character, and I wish he didn't get killed of so soon. Rest of the cast do fine.<br /><br />Overall I highly recommend this great German slasher!. ***1/2 out of 5",Positive,Positive,Positive,unknown,Positive,Positive,Positive,unknown,unknown
"This is a cute little movie that provides pretty much what it promises - some good entertainment. After all, when a movie proclaims it features top SASS shooters, you have to figure that it is not a likely candidate for the ""Best Picture"" Oscar. Those guys are shooters, not actors. Your next clue is that the movie doesn't star Nicholas Cage or Jennifer Aniston, i.e. you shouldn't expect to see the current hottest names. It was meant to be just plain old entertainment and in that regard it is every bit as good as a lot of the old ""oaters"" I have seen through the years.<br /><br />SO what do you get with ""Hell To Pay""? You get 100 minutes of good old entertainment. You get a chance to see some stars from past years, who act pretty much like what they did in their prime but a little older. You get to see some good SASS shooters in major roles and a few SASS hams in the background. It was a lot of fun for me seeing people that I have shot with, visited in their homes and who are my good friends get to do something that a lot of people only ever dream about - they're in a real, live honest to gosh movie. They're doing something a lot of wannabe actors and wannabe shooters will never get the chance to do and I think that alone makes it worth the watch.<br /><br />Admittedly, not everyone is a SASS member and so I saw lots of fun and humor that others may miss, but it is still good, old-fashioned entertainment, and frankly, there are a LOT of movies in the theatre right now that I wouldn't give a nickel to see, so save the money to go see ""Brokeback Mountain"" get ""Hell to Pay"" and watch some real cowboys have some fun.",Positive,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"Like the gentle giants that make up the latter half of this film's title, Michael Oblowitz's latest production has grace, but it's also slow and ponderous. The producer's last outing, ""Mosquitoman-3D"" had the same problem. It's hard to imagine a boring shark movie, but they somehow managed it. The only draw for Hammerhead: Shark Frenzy was it's passable animatronix, which is always fun when dealing with wondrous worlds beneath the ocean's surface. But even that was only passable. Poor focus in some scenes made the production seems amateurish. With Dolphins and Whales, the technology is all but wasted. Cloudy scenes and too many close-ups of the film's giant subjects do nothing to take advantage of IMAX's stunning 3D capabilities. There are far too few scenes of any depth or variety. Close-ups of these awesome creatures just look flat and there is often only one creature in the cameras field, so there is no contrast of depth. Michael Oblowitz is trying to follow in his father's footsteps, but when you've got Shark-Week on cable, his introspective and dull treatment of his subjects is a constant disappointment.",Positive,unknown,unknown,unknown,unknown,unknown,Negative,unknown,Negative
"...but other than that, there's almost no redeeming social value to this sequel to the original Poseidon Adventure. Where the heck are all the people from the original, including the rescue crew? Michael Caine undergoes his most humiliating performance to date (although he later trumps himself with Jaws 4 down the road). Slim Pickens is just embarrassing as a stereotyped Texas, and generally you just have to wonder, ""Why did they bother?"" Irwin Allen's last stab at cashing in on the disaster craze, I guess.",Negative,Negative,Negative,Negative,unknown,unknown,Negative,Negative,unknown
"Cedric Kahn's films have been character-based, rather than action-based (I'm thinking of L'Ennui and Feux rouges) so it is jarring to see this series of really expert car chases interspersed with some plodding attempts to give character to Succo. I don't find Stefano Cassetti to be an interesting actor; he reminds me of pro athletes who are coaxed into movies, like Bret Favre. That blank stare looks like a really vicious deer caught in the headlights. A real actor would have forced us to reflect more on Succo's personality, rather than admiring his skill at carjacking.<br /><br />The little acting there is comes mainly from Isild le Besco as the needy schoolgirl Succo takes by storm. The interview at the police office is a marvel of bland obstinacy with a little fear of the future blended in. Le Besco apart, there is little to recommend this film.",Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"1993 was a time of change in the WWE but for this Wrestlemania they decided to wind back the clock as Hulk Hogan returned, along with his good friend Brutus Beefcake, who had been out of wrestling since a paragliding accident in 1990.<br /><br />This was not a great event. Only two matches had any real build and the whole thing came off as being rushed. The in ring action wasn't great and the twist at the end, which I'll discuss later, really wasn't the earth shattering moment the WWE hoped it would be.<br /><br />This forgettable night started off with Shawn Micheals defending his Intercontinental Championship against the undefeated Tatanka. Tatanka had beaten Michaels a couple of times leading into the fight. Michaels had a new manager, Luna Vachon while Tatanka was accompanied by Michaels' former manager and future WWE Hall of Famer Sherri Martel. Tatanka won by DQ. Michaels kept his title and went straight back into his feud with Marty Janetty, which had been put on hold just for Wrestlemania. Why, I have no idea.<br /><br />Next up saw the Steiner Brothers (Scott and Rick) defeat the Headshrinkers (Samu and Fatu) with Scott scoring the pin after hitting Samu with the Frankensteiner. Good match.<br /><br />Doink the clown needed help from another clown to win his match against Crush. A second Doink distracting Crush when he was in complete control and allowing Doink to get the pin and the victory. Doink was an entertaining gimmick character, who got old rather quickly.<br /><br />Razor Ramon easily defeated the returning Bob Backlund in the next match.<br /><br />This brings us to the first in our double main event. As the Mega Maniacs Team of Hulk Hogan and Brutus Beefcake, with the newly turned good guy Jimmy Hart in their corner, took on Hart's former buddies Money Inc (Ted DiBiase and Irwin R Shyster). This was a fairly sketchy finish. Beefcake, as mentioned, had been in a paragliding accident requiring full facial surgery and had wrestled the match with a face mask on. Shyster ripped the mask off him and beat Beefcake to a pulp. The ref went down, Hogan grabbed the face mask and knocked out DiBIase and Shyster and then Hart, who was wearing a referee shirt, counted the three. Another ref came down and reversed the decision, declaring Money Inc winners by DQ.<br /><br />Next up Lex Luger or the Narcissist as he was also known at the time defeated Mr Perfect. This match came about because Luger was being managed by Perfect's old manager Bobby Heenan. Perfect had is feet on the ropes when he was pinned, but the ref missed it.<br /><br />The Undertaker picked up a lacklustre DQ victory in a pretty poor match against the Giant Gonzales. THe Undertaker had earned the ire of Gonzales' manager Harvey Wippleman in 1992 and Taker had defeated his big monster Kamala at Survivor Series. Wippleman vowed revenge and took it at the Royal Rumble as Gonzales attacked Taker, costing him the match. Gonzales dominated Undertaker in this match, but was DQ'd for choking Taker out with chloroform. Weird finish to a bad match.<br /><br />This bought us to our main event as WWE Champion Bret Hart, seriously challenged as champion for the first time, put his title on the line against Mr Fuji's unstoppable monster Yokozuna. Yokozuna controlled the early going, but Hart resisted and then took control. He had Yokozuna in the sharpshooter, surely he would give in and Hart would be established as an heroic hero after taking out the big monster. But Fuji had other ideas, throwing salt in Hart's face, rendering the Canadian helpless as Yokozuna got the pin.<br /><br />What a downer ending. But wait here comes Hulk Hogan. He's checking Hart to make sure he's OK. Suddenly Fuji challenges Hogan to a WWE Title right then and there. Hogan accepts. Fuji throws salt towards Hogan, but hits Yokozuna instead. Hogan hits the leg drop and wins the match and the title. What did I just watch? And so, what most fans thought was going to be the night we either saw Hart establish himself as a giant killer, or Yokozuna establish himself as an unstoppable monster, we instead saw Hulk Hogan pick up a meaningless title win. A title that he would not defend for three months. As a matter of fact this was the only match Hogan wrestled for the WWE before the King of the Ring PPV in June 1993.",Negative,unknown,Negative,Negative,unknown,unknown,unknown,Negative,unknown
"In 1993, ""the visitors"" was an enormous hit in France. So, the sequence was inevitable and unfortunately, this sequence ranks among the worst ones ever made. <br /><br />This is a movie that doesn't keep its promises. Indeed, it's supposed to tell a sole story. Jean Reno must go in the twentieth century and take Christian Clavier back in the Middle Ages so that time can normally follow its course. The problem is that Clavier feels completely at ease in the world of the twentieth century, and so make him get back in the Middles Ages is rather hard... Instead of this, the movie goes on several other stories without succeeding in following the main plot. As a consequence, the movie becomes sometimes muddle-headed, sometimes a bit of a mess.<br /><br />But the movie also suffers from the performance of nearly all the actors. Reno and Clavier fall into the trap that however they could avoid in the first movie: they're going over the top and become annoying. Then, why did Jean-Marie Poiré the film-maker engage Muriel Robin in the female main role? He made a mistake because she seems ill-at-ease and is absolutely pitiful. The other actors aren't better: Marie-Anne Chazel is nonexistent and Christian Bujeau, unbearable.<br /><br /> Of course, the movie contains a few good moments with efficient gags but it often falls into vulgarity and easiness. Certain sequences and dialogs are affected. It also appears hollow because Poiré takes back elements that secured the success of the first movie. Thus, a young girl takes Reno for a close relative of her family and asks him to take part in her wedding.<br /><br />A labored and disappointing follow-up. Anyway, what's the interest of this movie otherwise commercial?<br /><br />",Negative,Negative,Negative,Negative,unknown,unknown,Negative,unknown,unknown
"42/100. Often referred as ""Tarzan with clothes on"", but it's not at all in the same league as his far superior Tarzan series. Basically, The Jungle Jim series became a Tarzan replacement for Johnny Weismuller, after he started getting too out of shape for a loincloth. In Jungle Jim, he is fully clothed. It can't compare to the Tarzan series in any way, not in acting, screenplays or quality of production. It's pretty hokey stuff. This one is the first the best in the series, and that isn't saying much. Too much stock footage is used, and it is so obvious. The score is overdone, and the plot is lame and the production is so poor it makes it hard to watch at times.",Negative,Negative,Negative,Negative,unknown,Negative,unknown,unknown,unknown
"Roman Polanski plays Trelkovsky who rents an apartment in France.The previous tenant is in a hospital after a suicide attempt.He goes to see her there where he also meets Stella (Isabelle Adjani), the friend of Simone.He and Stella become pretty close.Later Simone dies.Trelkovsky begins to think the landlord and the neighbors are trying to change him into Simone so that eventually he would also jump out of the window.Le Locataire (The Tenant) from 1976 is the last film of Polanski's apartment trilogy.The previous ones were Repulsion and Rosemary's Baby.Roman Polanski does not do good job only as the director but his acting is also superb.Isabelle Adjani with her big glasses is wonderful.The landlord, Monsieur Zy is played by the great Melvyn Douglas.Jo Van Fleet plays Madame Dioz.The fantastic Shelley Winters is The Concierge.The Tenant is something very scary from time to time.It gives a lot of that psychological scare.This film is not the easiest one to understand or explain but that makes it all so fascinating.",Positive,Positive,Positive,Positive,unknown,unknown,Positive,unknown,unknown
"Actually there was nothing funny about this monstrosity at all!! This movie was a complete abomination. The absurdities in this movie almost made me want to vomit!! I think that the people responsible for this movie took advantage of their viewing audience. They took a relatively decent series of movies (I did say decent, NOT GOOD!!) and totally trashed it by trying to put money in their pockets. The making of Airplane! was a way for Hollywood to make up for this crappy flick. The worst part about it is that either nobody in 1979 realized the asinine events of the movie (such as Concorde's door popping off at some ungodly high altitude or Patroni shooting a flair gun out the window at Mach 2 to avoid a NUCLEAR WARHEAD!?!?!?....what were they thinking???)were totally unrealistic or they just didn't care! I think that it is the latter of the two. The writers and director of this ""film"", if you want to call it that, really tried to suck the Airport dynasty dry with this crap!",Negative,unknown,Negative,Negative,unknown,unknown,Negative,unknown,unknown
