description,review_majority,food_aspect_majority,ambiance_aspect_majority,service_aspect_majority,noise_aspect_majority,cleanliness,price,location,menu variety,waiting time,waiting area,parking,wi-fi,kids-friendly
This place did not disappoint. As I walked in my mouth was already watery and everything looked delicious. I had to go here and see what the hype was about. You can't go wrong with their desserts here.,5,Positive,Positive,unknown,unknown,Positive,unknown,Positive,Positive,unknown,Positive,unknown,unknown,unknown
"I enjoy great ice cream and this place didn't disappoint. It was a hot day in Las Vegas so I stopped in after lunch. Went with the waffle cone with black cherry and strawberry ice cream which was yummy and generous in portion. They don't have any indoor seating, but they do have a few benches you can kick back at. Overall, totally yummy ice cream and a good place for satisfying my sweet tooth!",5,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"Anything I have ever eaten from here has been delicious. The cavatelli & meatballs, pizza, ALL of the bakery!!! You really can't go wrong here.",5,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"How can a ""Italian Bakery"" run out of cannoli. Their restaurant had a plethora of cannolis. Their other pastries were good but we went there for the cannoli. There are on the don't go list now. Sorry.",3,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Best pastry in Madison -- always fresh, lots of options. Nice staff with great recommendations. Bread is outstanding, but like Madison Sourdough a little better. Park at Wiley Street Coop and walk down or park around the corner. Also did not like the $5 minimum on the credit card -- don't get that? Also wish they can do some classes on pastry. Overall, love this place!",5,Positive,unknown,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"Venetian is dangerous. I hardly walked pass the slot machines without stopping at the Chinese Queen machine because of the lights. I was on my way to the Phantom Theater to pick up my tickets for the night, and I passed by Bouchon Bakery. I was suckered into their macarons. They sell them individually and in a pack. I couldn't resist and I couldn't decide on which to get. My love told me I could get whichever one I wanted, while he orders a turkey cranberry sandwich. So I ended up getting that pack. Yes, fat girls' problems, but it's worth it. They were of six different colors, There's a vanilla, chocolate, coffee, pistachio, raspberry, and caramel flavored. I posted a picture of it, colors do get to me. They're not too sweet, which I liked. My favorite ones were the pistachio and the coffee ones. I find the jam inside the raspberry one to be a little too overwhelming. The size is enough to split with someone else, especially if you want a bit of everything at once. Their sandwiches are pretty good too, especially for a quick lunch. The baguette bread was crunchy on the outside and quite soft in the insides. Too bad I devoured it too soon (I wanted to spend more time with my macarons). The bad part is that you have nowhere to sit and eat. It's like a grab and go cafe.",5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
Staff not friendly. There's a person control door. Won't let you in event you just want to use Kiosk (note: you are next person to go in on the line),1,unknown,Negative,Negative,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
"I had heard about this place for awhile, so my hubby and I drove an hour to get there from across the valley to have a birthday treat. Totally worth it - best ice cream / donut and the guy that helped us was very passionate and excited to tell us about the flavors. Great experience!",5,Positive,unknown,Positive,unknown,unknown,unknown,Positive,Positive,Positive,Positive,Positive,unknown,unknown
Great pastries! Fun ambiance with eclectic decor. We found ourselves a loveseat with coffee table and enjoyed an assortment of pastries. YUM!,4,Positive,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown
"Tried this and was a bit disappointed as everything was mass produced. The cookies were packaged in bags and were not fresh. The cereal milk soft serve was okay nothing too special. The one thing I did like was the crack pie! It's supposed to be served cold, but I recommend getting it down to room temperature and enjoying it that way. You can't really heat it up because it's a custard pie. Overall, service was good, but wouldn't really go back for their cookies. I would for their crack pie.",3,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Great idea! Cool space. Tasty shakes. I loved the cereal decor. It's a great unique idea for a place in a cool area of Uptown/ The staff was a little disengaged on the Friday night we visited. We watched them lock the doors 15 minutes before closing time and refuse any more service. It was a bit awkward being the last customers served that night and seeing others try to get in a locked door while we waited for our shakes,3,Positive,Positive,Negative,unknown,unknown,unknown,Positive,unknown,unknown,Positive,unknown,unknown,unknown
"One of my favorite bakeries in Charlotte! The owner is extremely passionate in her baking & continues to serve in her community. When her original store got severely damaged from the flood, the community stepped in to help her recover. ""People first , cake second "" is a motto she stands by and it truly shows through out her work! A few of my favorite pastries are: oatmeal cream pie, cookie butter cookie & the Oreo truffle. They are out of this world Tip: arrive early because they will sell out",5,Positive,unknown,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"I have just one word.. AMAZING!!! I am so glad we decided to try this place out. The is hands down the best ice cream ever invented. Everything is made with fresh Ingredients, the store is always clean. And the chocolate chip cookies are to die for!! Oh and you must try a toasted marshmallow on top!! This is our go to place Everytime were in Scottsdale.",5,Positive,unknown,unknown,unknown,Positive,unknown,Positive,unknown,unknown,Positive,unknown,unknown,Positive
"Bangkok Peanut: a seasonal summer flavor of peanut, coconut, and just the slightest bit of heat. It is still sweet like an ice cream and had little flecks of coconut. I loved it. Coffee with Cream & Sugar: hands down the best coffee ice cream I've ever had. The taste makes you feel like you're holding a great cup of dark roast. The cream keeps it balanced from becoming overpowering. Wildberry Lavender: tasted more orange then lavender to me and would pair well with Milkiest Chocolate. Also, the color is gorgeous. The Jeni's Charlotte South End spot is small and lines during opening week can exceed 1 hour. They are open 11am-11pm every day, so be sure to plan your visit. It is absolutely worth the wait!",5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown
"Perfect place to get your Hawaiian ice cravings, or flavorful ice cream... or get a taste of Filipino desserts like halo-halo or taho.",4,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,Positive
Handel's never disappoints! My go to ice cream place. I just relocated from California and I used to go to the Handel's location in Lake Forest and I was super happy when I found out that there's a location near my new apartment! Would definitely recommend this ice cream place!,5,Positive,unknown,Positive,unknown,Positive,unknown,Positive,Positive,Positive,Positive,unknown,unknown,unknown
"This place never disappoints me! They have the most wonderful croissants-so crusty on the surface and so soft in the inside. No master which flavor you pick, you never go wrong with it. The sweets are also very good. The shortbread cookies are sweet and special. I also like the dark chocolate cake with espresso syrup. It's super moisture inside, and the texture is so soft. Almost feels like drinking chocolate down your throat. Amazing! Really hope I can try everything they have, but seems like there are too many choices :)",5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"I really like the ice cream here, and they make the waffle cones fresh, which is amazing. I was really impressed by the staff, though. They were smiling and having fun, had great advice on what to get for the kids and helped me not over-serve myself on my own ice cream cone(A double is bigger than I thought, and they warned me in an appropriate and absolutely insightful way). They were enjoying their job, and it made me enjoy the business more. So way to go, Megan and Marcello. Keep doing good work!",5,Positive,unknown,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,Positive
"I've always been a huge Jack Frost fan. Their donuts are delicious and beautiful. Unfortunately, my recent experience was not a good one. Last weekend I attempted to purchase donuts for two events. The first was a order of cannoli donuts for a birthday party and the second was a donut cake. I attempted to place these orders several times. My repeated phone calls went unanswered and when I'd stop in to place the order, the shop would be sold out and closed. When I finally went there and found them open, I was told that I could not place a cake order. The manager would have to call me. I did place the order for the cannoli donuts and paid for them in advance. Several hours later the manager called me and I placed the cake order, paying for it over the phone as required. When I arrived a few days later, they gave me the cake and informed me that I had never placed the order for the cannoli donuts. The woman who had told me this was the same one who had taken my order in person and who I had paid. She attempted to text the manager who was once again not in the shop. The manager did not answer. She then found the order and told me they weren't made. She gave me two dozen donuts, which were not the type I wanted, and told me the manager would call me. I've waited an entire week to write this review, hoping that Jack Frost would correct this issue, that I'd at least get a call from the manager and that they'd offer to make me the cannoli donuts. They have not contacted me and at this point, I doubt they will. While Jack Frost's donuts are beautiful and delicious, I don't see myself returning. Their customer service is terrible. I'm truly disappointed in them.",1,Positive,unknown,Negative,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"After hitting Grapes on Shea and Scottsdale for happy hour today- review coming shortly (maybe... hey, I've 12 other reviews that need to be written!), I headed to Sweet Republic for a sweet ending. I'd received a newsletter from SR that there were new flavors in honor of Valentine's Day, and I thought what a great reason to pay SR another visit! Of the two Valentine specials, Raspberry White Chocolate and White Roses, I could only sample the latter, as the former contained an allergen. I'm a sucker for floral-scented food and drink, and this SR delight was a winner! I could definitely taste roses, and the sweet cream wasn't too sweet. Loved it! I also sampled Desert Honey (a tart yogurt sweetened w/ local AZ wild desert honey), Almond Buttercrunch, Salted Butter Caramel, Cheese Course Duo, Espresso, and Mango Lassi. I took a pint of White Roses and Desert Honey ($7.50) and a scoop of Salted Butter Caramel to-go and a scoop of Almond Buttercrunch in a waffle cone (2 scoops $4.25 + $1 for waffle cone) to savor! I couldn't pass up a Chocolate Chip Walnut Oatmeal cookie ($3) as it looked so delicious on its cake display stand- one of the proprietors, Helen, offered to warm it up in the microwave. What a wonderful suggestion! I asked if she could tear off a section and warm it up... The warmed bite I took at the store was amazingly good! (I did notice that the rest of the soft-batch cookie, sampled in the car, was definitely saltier than I'd wish for in a cookie. Why didn't I detect this saltiness in the warmed-up section? Perhaps the sweetness of the almond buttercrunch made my tastebuds more sensitive to salt? Hmm...) I really enjoyed the almond buttercrunch and the cone, so much so that I wished I'd skipped on the salted butter caramel- heresy some fans of this flavor might think, but what can I say? I loved extra textural component, and the buttery toffee-sweet crunch, that the almonds provided. I may be back, maybe as soon as tomorrow!, to re-visit the espresso and the mango lassi (and grab a few more of those chocolate chip walnut cookies!). ;) p.s. Couldn't resist and just had to taste a couple scoopfuls of desert honey and white roses before placing the pint in the freezer... Oh. My. God! Run to SR before Valentine's Day is over and White Roses disappear from the rotation! (Just remember to bring your credit card- a visit could get expensive!)",4,Positive,unknown,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"I liked this place but I think it comes down to what you were raised on. I think Krispy Kreme is trash because I grew up on Shipleys. Shipleys has the best yeast donut to Me. This place the yeast is gigantic and a lil heavier but there glazes are really good hear. They are at a premium price but I will say the donuts are large. Lots of cool flavors to try, I wish the Pop tart one had actual pop tart filling but that's asking a lot. A lovely young lady in line with me suggested the French toast joint so consider it if you come. Nice way to stretch your legs in the morning if your staying on Fremont and wake your crew up with donuts.",4,Positive,unknown,unknown,unknown,unknown,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"After following Carlo's bakery for many years and seeing that the lobster tail is one of the best pastries, we tried it and it was just ok, the cream inside was good but the outside was very dry and the pastry itself was not the best tasting.",3,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Man oh man can you drop a pretty penny here. Donuts start at $3 and go up to $6! Watch out for those pricey ones though, they're monsters.. I believe between four friends, we ordered to our hearts content (which ended up being 8 donuts and about $35, including chocolate milk for all). They supposedly have homemade strawberry milk on tap but I have my doubts since they were sold out the last two times I tried to stop in. (Maybe the trick is to go early? But how do I know the strawberry milk is worth getting up at 7am???) In any case, the donuts were magic. I highly recommend the creme brÃ»lÃ©e donut since it was one of the more unique ones we had. Personally, not my favorite. The caramelization on top tasted more like honey to me than anything else but I still recommend giving it a go since I've never seen anything like it anywhere else. Also the big poppa tart donuts are INSANE. Way too much volume for my belly. It was tasty but hard to enjoy such a monstrosity. I ended up taking two-thirds of it home. We also tried the strawberry split though I wasn't all that impressed. It's a sugar donut with whipped cream and strawberries in it.. plain and simple. There are definitely better options here, in my opinion.. If I were to offer a few pieces of advice: stick to the classics (they do their simple donuts very VERY well) and GO EARLY TO GET THE STRAWBERRY MILK. I think it's one of those mystical menu items that may or may not exist in real life.. hmm...",4,Positive,unknown,unknown,unknown,unknown,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown
Ice cream was fantastic and customer service even better. They are very sensitive and respectful of gluten allergies. Assured measures taken to avoid cross contamination/ offered all of their alternatives. So happy I know I can come here,5,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
this place is AMAZING!!! THEY ARE OPEN DURING COVID-19 OUTBREAK ! - (seating inside is closed and they are taking all precautions) go check them out! they have such unique flavors and they stuff donuts with their amazing homemade unique ice cream flavors! my family took me here tonight for my first time and i received the absolute best customer service i have ever received in my life. he described each flavor ice cream to me thoroughly and gave tasters. he also thanked us several times for our business and told us how grateful they are to have us there. i have never been anywhere that gave such amazing customer service and was so passionate about their job. this LOCALLY OWNED SMALL BUSINESS DESERVES YOUR BUSINESS .. AND IT IS BEYOND WORTH IT! check them out!!!! :) thank you for such an incredible experience tonight!,5,Positive,unknown,Positive,unknown,Positive,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"Being a fan of David Chang & the Momofuku empire, its a pleasure to see Milk Bar stand out as another entity. David Chang recognized excellence and created a new branch of the business with Christina Torsi called Milk Bar. Milk Bar sells cookies, pies and crazy ice cream with cereal flavors. Man, I love cereal! To see a Milk Bar in Las Vegas, in the 110 degree weather no less, Milk Bar ice cream is an oasis in the desert. I walked up to the counter and ordered a cereal ice cream. I was asked if I would like the cereal cornflake crunch topping for an extra charge. Yes please :) The cereal crunch mix is amazing and different. To have this outpost in Las Vegas is a welcomed treat. I ordered a Cereal Milk Soft Serve with cornflake crumble topping. The ice cream itself is made with milk, cornflakes and brown sugar. It tastes just like the milk at the bottom of a bowl of cornflakes! I highly recommend Milk Bar Las Vegas, its one of my guilty pleasures :)",4,Positive,unknown,unknown,unknown,Positive,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"Great customer service! The staff was knowledgeable and very open to helping us decide which treat to try. I wish they had more ice cream and cookie flavors, but I did enjoy my cupcake sundae.",4,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Positive
Sweet republic is wonderful!! This was my first visit to this location. We stopped in for a tasty treat! When adulting all day it's nice to have a place to rewind the clock- and enjoy a flashback to childhood with ice cream!! They have delicious options and all kinds of ways of jazzing them up! Today I had salted caramel ice cream with a waffle bowl! I added a Marshmallow to the top!! It was fantastic!! The service is fast and friendly!,5,Positive,Positive,Positive,unknown,unknown,unknown,Positive,Positive,Positive,Positive,unknown,unknown,unknown
"This dessert place is not 4 star worthy and everything was overly sugary. The cereal milk ice cream was too sugary, and my friend and I were not able to finish the ice cream because of the amount of sugar that was in the ice cream. We shared the compost cookie and it tasted ridiculous. It was by far the worst cookie I had ever tasted, but the marshmallow cookie was alright. It was not an enjoyable place, and seems like a place that only drunks enjoy. Save your money because everything is overpriced and not worth a dime.",1,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"They are perfection! I wanted to have some really special and interesting flavors of hand cakes for my cousin's bridal shower and Butterwood MORE than delivered! I was planning the event from another state so I had to do everything via email. They were so easy to work with! They had great flavor suggestions. I also asked if they could put just a few fresh flowers on a few of the cakes to be pretty. When it was finally the day to pick them up, pick up was a breeze. I didn't open the box until we got home and CHILLS!!! I literally got chills for how gorgeous the cakes were! Each one was a perfect little masterpiece. I ordered 5 flavors, 3 for the shower and 2 for the bachelorette part to follow. They were too gorgeous, so all 5 went to the shower! All of the ladies oohed and ahhed over them. But that wasn't even the best part: they tasted AMAZING!! I couldn't be happier with Butterwood!! They really added a special touch to a special day! I just wished I still lived in Pittsburgh so I could visit there all of the time and try all of their amazing treats and interesting flavors! Also, side note, though I just stopped in to pick up the cakes, the shop is also amazing! Great decor and atmosphere! I'd die to be on a date with my man or my mum here! PERFECTION all around!! THANK YOU BUTTERWOOD!!",5,Positive,Positive,Positive,unknown,unknown,unknown,Positive,Positive,unknown,Positive,unknown,unknown,unknown
So the quality of the product now vs when it first opened - has changed a lot. I ordered 7 lobster tails & they were shaped like very little effort was put into it. Also the filling was less creamy more of a lemon cheesecake filling. Anyways send Carlos back to re-train / refocus on the quality. Then i can feel like it's worth waiting in the for - like it used to be.,3,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
This place took way to long to prep my order for my Postmates order. 15-20 waiting for prepping the order and when my Postmates delivery person arrived - it still was not ready. 3 Thai Teas - 1 with Boba - how long does that take to prepare?,1,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"This place is either heaven or hell for chocoholics. Great ice cream. Awesome chocolate squares and quite possibly the best sipping chocolate anywhere. I liked so much that I ordered another one for indulgence. It was cold in LV so the sipping chocolate served another purpose, other then to get me high. It's possible!! The staff is friendly and we were given a free sample of their latest mini squares, chocolate and caramel. OMG. All this talk of chocolate is getting me aroused.... For more chocolate! Get your mind outta the gutter.",4,Positive,unknown,Positive,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"What an awesome addition to the neighborhood. Delicious desserts, great coffee, friendly staff, and open late. We've made our way to Butterwood a few times post-dinner and have been so pleased. Great selection even late into the night. Hope to try some savory quiche sometime soon.",5,Positive,unknown,Positive,unknown,unknown,unknown,Positive,Positive,Positive,Positive,unknown,unknown,unknown
I have served this country for 30 years retired USN I came up to the cashier and showed my military ID if they are giving out a military discount and the cashier said that I should be in uniform to get 10 percent discount. Wow!,1,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
My mom had the lemon pistachio donut which was large. She felt like it was tasty and delicious. A nice lemon my glaze that was not too sweet. Could have been lighter but she liked it. Sister had the Samoa which is like the Girl Scout cookie. She said it was dry but it did taste exactly like the cookie. The Oreo was delicious and had Oreo in the middle. We all said we would certainly come back for more in the future. The location is convenient and it's a cute little store front with a courtyard we sat in with our little Yorkie.,4,Positive,Positive,unknown,unknown,unknown,unknown,Positive,Positive,unknown,Positive,unknown,unknown,unknown
"Get the PBJ Donut melt with Cinnamon crunch topping! They have a handful of flavors, but oh my, they all taste so so so so good. I have been to other 'popular' ice cream places in the Valley, but never have I tasted such a good depth of flavor. Their ice creams are hand churned two tubs at a time. They also have floats, although I am yet to try it. And Novel is open late, which is great news for all the folks who crave ice cream at 12 midnight.",5,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"This place is hard to find and there is no seating. Would go again though. Tried the Espresso Macaroon and the Red Velvet cupcake .. 'bout as big a 5 yr. old's head. Pass on the cupcake though..yeah it was big and beautiful but it just wasn't fresh. Frosting was great though and the macaroon was perfect. I will try again my next time out to Vegas. But, I will go early morning and during the week as suggested. So stay tuned!",3,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Love their ice cream! So different from store bought. When it is hot in Vegas, this is a great place to cold down and indulge in their delicious sweet creations. There was a line when we got there, but they did not have a good system so people do not jump the line. They need to work on that, otherwise, they could have people who get offended. The price is a bit high, but the quality is top notch.",4,Positive,unknown,Positive,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"After drooling over while watching Netflix's show Chefs table, I definitely wanted to try Christina Tosi's milk bar. Milk bar is located on the 2nd floor at the Cosmopolitan. It's right next to Momofuku. We went around 11am and it wasn't that busy. We got the cereal soft serve with the cornflakes topping. I wanted to try the crack pie but it was already so pricey that I skipped it. The soft serve was delicious, I loved the crunchy flavor of the cereal, it was not too sweet but had a slight salty flavor to it. I really liked the texture it was dense and rich. The taste made me all nostalgic of my childhood. The milk bar is definitely worth the try and I would recommend it. I would want to try the crack pie in future, saving this place for my future visit.",4,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"I am SO glad I gave Sprinkles another chance. Not being wowed by their original Beverly Hills location avoided them for the last few years but kept wanting to try their ice cream. A new addition to the Vegas Strip, The Linq, which reminds me a bit of LA anyways, had a Sprinkles location both for cupcakes AND ice cream! Perfect timing in the middle of the afternoon (though Vegas is always hot and you can eat ice cream any time of day) A few customers in the cupcake side, no one at the ice cream counter. TONS of flavors, most rotate daily, we had about 20 to chose from. So many great sounding flavors, the usual pig in my would have wanted to sample them all. I went with a sample of the only sorbet, strawberry, and was SOLD! THAT good, SO refreshing, simply perfect. I came for the red velvet waffle cone but wound up ""needing"" a cupcake sundae. Chose a cupcake, they split and fill with ice cream. Went with the red velvet and was in love! So fresh, soft, moist, everything a cupcake should be. The cream cheese frosting had way too much sugar, not my fav, but I am now finally convinced that it is not just hype, Sprinkles really makes some great cupcakes and I will be back for more of that ice cream!",4,Positive,unknown,unknown,unknown,Positive,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"Bruh this my favorite ice cream place. Hot take but I don't think the west coast (yes consider Vegas west coast) has good non-Asian ice cream, but this was a shining beacon of hope for us picky ice cream eaters. Salt & Straw is shaking. I recommend the milk flavor and birthday cake swirl (not sure if I got the verbiage right) with fudge topping and sprinkles. Milk Bar is located in the Cosmopolitan hotel, near the entrance to Marquee, so it's perfect for when you just finished getting yurnt at the dayclub and want something to hold you over until dinner, before you hit the nightclub. The only thing is that the portion is pretty big, so you'll probably want to split with someone. The ice cream was $8 and I had to throw half of it away since I couldn't finish it, and I'll regret this moment for the rest of my life. All I want right now is to go back to the Cosmo for this one lick of frozen heaven.",4,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"We ordered the oreo truffle cookies, chocolate puddle cookie and a s'mores brownie. All of it was amazing! Looking forward to our next visit and hopefully, we get to try something with dulce de leche.",5,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
Love the vibe! Got the Jasmine Milk tea & loved it. Great choice of music. Will definitely come back.,5,unknown,Positive,Positive,Positive,unknown,unknown,Positive,Positive,unknown,Positive,unknown,unknown,unknown
"So I been waiting for a while o check this place out, Im really not a huge bakery fan but I love watching Cake BOss and wanted to see what exactly is the big fuss. I wasnt a fan of the cupcakes but i liked the cannolie but LOVE the LOBSTER TAIL....",4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"Splurged after dinner for the macaroons box - While pricey ($15), the morsels were just about perfect. Also got a peanut cookie sandwich - hubby devoured it! Wish I had bought more!",4,Positive,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Sweet Republic's namesake is apt in its home country, as it represents an almost patriotically capitalistic approach to frozen dessert - it is quite possibly the most expensive ice cream I've ever eaten in a venue solely targeting it, with a double ($4.50) that barely exceeded other boutique creamery's singles. Fortunately, the quality and preparation are commensurate with the price, and unlike other hyper premium ice cream, it doesn't feel so loaded with fat that a toothpick is the ideal utensil (although a gelato spoon is still recommended to stretch out one's savoring, even with the larger sizes.) It is worth noting predominantly that their approach is not for everyone. In a sense, I'd like to think that the cost is due to substituting subtle flavors of the stated ingredients as opposed to an excessive amount of sugar, a concept alien enough to balance out the patriotism to neutral. To put it another way, if sweet was one's only taste receptor, this would be the Wonder Bread of ice cream and one's visit, especially if cultured in hype, is likely to result in a subsequent trip through the stages of grieving. If one is still reading, due to [excitement, cautious optimism] be sure to check out: - Real Mint Chip: I've simply never had ice cream that tasted like fresh mint before. - Desert Rose Honey: A nearly perfectly balanced tart yogurt that might ruin Cherry On Top, Golden Spoon, Red Mango, etc. forever. Disapproval and further illustrating the C. family comestible preference distance was worth coming here - I just hope it finds enough audience in a steakhouse-rife land.",4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"My whole family really likes Jack Frost because they aren't too sweet. Doughnuts are made from good dough, not just air and sugar.",5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Positive
