description,review_majority,food_aspect_majority,ambiance_aspect_majority,service_aspect_majority,noise_aspect_majority,cleanliness,price,location,menu variety,waiting time,waiting area,parking,wi-fi,kids-friendly
"Terrible ambiance, good food and service. Will recommend it to others.",3,Positive,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
I have been here before and either they had an off night or their Restaurant Week offering is just of a lower quality.,2,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Very disappointing. Tough veal scallopini, blah lobster ravioli filling. Friendly service. Nice, attractive space -- but food quality is most important to me.",2,Negative,Positive,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Mediocre. service was so so, hectic environment, seating is too close to other tables. Food was okay. Don't think I'll go back.",2,no majority,Negative,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
This place has non-existent service but is next door to the AAC for Mavs games and that is the ONLY reason to eat here.,2,Negative,Negative,Negative,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
Pretentious service.,no majority,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"I was overjoyed with the food. Also, we were seated in the side room by the kitchen and not the main dining room; the ambiance is lacking in that room.",4,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The food was unremarkable, the service okay but not great, and the ambiance unpleasant. Staff seemed stressed and were not particularly pleasant.",2,Negative,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Food and service were good. was tripple billed on my credit card. When called back to inquire the female was rude and not forthcoming.... would not recommend to anyone due to this problem!!!!! Adding to that the noise was an uncomfortable level.,2,Positive,unknown,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Entrees were very bad. We tried 3 different ones. Plus the place was too dark and cold.,no majority,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Food was very good, out door garden was very nice. I had asked for something to be added to my entree and the chef gladly accommodated this request. Service was great.",no majority,Positive,Positive,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
way overpriced considering seafood was just ok--should have been outstanding at these prices. Service was the best I've had in awhile.,3,Negative,unknown,Positive,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Great food, but bad service and the high level of noise from the bar area made it nearly impossible to hold a conversation at our table.

This isn't a dining experience that we will be repeating.",no majority,Positive,Negative,Negative,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
Very expensive wine list. Food just so so. Extremely noisy but the service was good. I would not return.,2,Negative,Negative,Positive,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The food and service were excellent.
The Chef is shy but obviously cares about the food and its preparation. The ambiance was not that good",3,Positive,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
service was very poor. we kept asking each other if we had a waiter. food was terrific. noise level was one of the highest,no majority,Positive,unknown,Negative,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
The waitress acted like she would have rather been having a root canal. We won't go back.,1,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"the food is fabulous.
I like that you keep the menu changing.",5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"we love the restaurant and everything about it.
excellent food and ambience...and an up atmosphere.",5,Positive,Positive,unknown,no majority,unknown,unknown,Positive,Positive,unknown,Positive,unknown,unknown,unknown
Overpriced and not a restaurant that we would frequent again.,no majority,unknown,unknown,unknown,unknown,unknown,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown
"This was our first time at this restaurant and we were very happy with our experience and service, and will definitely be returning!",no majority,unknown,Positive,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
Waiter was very rude but was replaced after complaining to the manager who was extremely very nice and curteous to me and wife. The noise level was acceptable. We felt we could speak freely without nearby tables hearing.,4,unknown,unknown,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"rushed, on a deserted weeknight, food made up for the service a bit. Stodgy, OLD! Not going back soon.",no majority,Positive,Negative,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"The food was great,its very relaxing. It was overall good.",4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The mussels were very good but all of the entrees were not very good and served cold. Plus, it was so obnoxiously loud inside.",2,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Won't be returning. When you go to a restaurant/bar and they don't even have popular scotches such as Dewars and Glenlivet, why bother coming? Love the service as they were very attentive",no majority,Negative,unknown,Positive,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown
"Gr8 venue, terrible service, shuttle service to the theatre.
The food is simply not worth the price tag, which was reasonable in itself.",no majority,Negative,Positive,Negative,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"A couple good small plates, but everything thing seemed to be off just a little bit.",3,no majority,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The restaurant is high quality but a bit pricey for the limited menu they offer but i didnt like the atmosphere of the place,no majority,no majority,Negative,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
As Always The Food Was GREAT!!!! But the atmosphere was NOT!!!!,3,Positive,Negative,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"I'd go there again if I was staying across the street...but wouldn't drive even 5 min for it. Calamari was very good as was the desert, balance of food passable. Nice and quiet inside.",3,Positive,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
It could use some improvement.,3,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Wonderful food, charming atmosphere, great service, just to loud to hear anyone. A really nice place for a couple on a date.",4,Positive,Positive,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
I really couldn't enjoyed the food. The service was quite poor -- we waited 20 minutes to order our food after the drinks came.,2,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"Bricco is great to go to on any nights but restaurant week. Could not handle the crowd. Food, service, ambiance, and quality were poor.",2,Negative,Negative,Negative,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"Jake's was, as usual, up to fine dining! A good time was had by the four of us!",5,Positive,Positive,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"A great, unique dining area.",no majority,unknown,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"I went to the Sunday brunch. Food was amazing! They had about 10 desserts, which all looked delicious! I loved the chocolate cake!",5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
The food was average - not sure what why this restaurant has been getting rave reviews,3,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The food was as shabby but the decor fantastic. It all needs a facelift.,no majority,Negative,no majority,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
the food was OK and the service needs to improve!! They also need to do some updates on the inside!,3,no majority,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Serious rise in quality. If you are going to have a limited menu, make sure it is good. Maverick is one of our favorites.",no majority,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
The ambiance and service are lovely but the food is way too salty. I've been to Cesco three times in the past year and each time the food has been overly salted. I probably won't return.,no majority,Negative,Positive,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Great time, good service food was good, price was right! But it was too noisy I`d likely back again!",4,Positive,unknown,Positive,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Food was very good!,no majority,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Was not a great place for Valentines day, I couldn't even hear my boyfriend's proposal!",1,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown
"The service and warm reception and acknowledgement by all was top notch, but the ambiance was lacking. We were treated very well by every employee in the restaurant. Definately a ""go back again"" place. Food was superb.",4,Positive,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Terrible, from start to finish! Food was  cold.",1,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"I went for Valentines day brunch and was suppose to get a box of really nice chocolates for my date that I never received. Service was great, though.",3,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Crazy busy. 30 minute wait with a reservation. Great service while waiting at a bar table. Very loud. Waitress slammed, but still did a good job. Food was quite good.",no majority,Positive,unknown,Negative,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
The restaurant seems to have had a change recently in its chef as evidenced by comparing previous pasta dishes. Still a good place for lunch or early dinner.,3,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Food was not good - will definately not return!,1,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Food was poor. Very dissappointing choice as this was our 5 YEAR ANNIVERSARY. We were in a hurry to leave, but atmosphere was good, but we were starving when we left. Food also took ages to come out and the waitress was inattentive.",no majority,Negative,Positive,Negative,unknown,unknown,unknown,unknown,Negative,Negative,unknown,unknown,unknown,unknown
Great outdoor patio. Service was terrible. Made a reservation and waited 30 minutes to be seated. Nothing special.,2,unknown,no majority,Negative,unknown,unknown,unknown,unknown,unknown,Negative,Negative,unknown,unknown,unknown
Very disappointing. Had to move our table due to noise then had a substandard meal. WOn't be going back.,2,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Nice friendly staff, great mix of people. Food was outstanding.
Would recommand to all, a must try.
I'm going back as often as I can.
The bartendar was friendly and professional but it was too dark in there.",4,Positive,Negative,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"Great value for delicious, filling lobster.",4,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"PArty of 9. Food took over an hour to arrive, empty drinks, server didn't check on us often enough, nor keep us informed as to when food would be arrivng. My food was barly luke warm.",1,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
Horrible evening for Sisan's birthday,1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"The hanger steak was extremely chewy. The taste was great, just too chewy. The location perfect not to loud at all.",3,unknown,unknown,unknown,Positive,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"As always...service that can be sometimes irregular, comes through in the end...yes, a true neighborhood gem...the periodic regional menus give the place a ""new menu"" feel...",4,unknown,unknown,Negative,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"Typical unimaginative Italian-American fare. Everything breaded, fried or smothered with cheese and tomato sauce.  The atmosphere was warm and inviting, though!",3,Negative,Positive,unknown,unknown,unknown,unknown,unknown,Negative,unknown,Positive,unknown,unknown,unknown
The restaurant was terribly noisey and packed to the gills.,no majority,unknown,Negative,unknown,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
Outdated seafood choices and burnt creme brulee. Very attentive and accomodating service staff.,no majority,Negative,unknown,Positive,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown
Great spot on the lake. But the food (brunch) was very disappointing. Expected better quality for the price!,no majority,Negative,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
Food was good - some dishes very good. wine list was way to pricey. There was only one moderately priced wine (eg $25- $30) in each category and they were overpriced for their quality,4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"My wife and I ate at La Tavola while on a trip to Atlanta last weekend. I had not eaten there since the change in ownership, and both the menu and service have introduced noticeable upgrades since.",4,Positive,unknown,Negative,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
I order a pasta with roasted chicken. very disappointed I paid 15 dollars.,2,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Food was not that good, service on Valentines day was much better than expected....",no majority,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"overall... it was okay. i don't recommend for special food, you will be disappointed.",2,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
As always Buchon did not dissapoint with their tasty menu.,no majority,Positive,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"Nice space, good service. But very expensive for what you get.",3,unknown,unknown,Positive,unknown,unknown,Negative,unknown,unknown,unknown,Positive,unknown,unknown,unknown
"Overall, it was very good. Must say we like the desserts best. The burger looked tasty - may try next time with another dessert.",4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"TOO NOISY FOR A DECENT CONVERSATION---AT LUNCHTIME!
PASTA OVER COOKED AND MUSHY.
GREAT LEMONADE!",2,Negative,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Went on Mothers day 5pm, Web site clearly indicated prix fix menu was available and it was not, several items were not available because they ran out.",2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Tables fairly close together, mushroom appetiser very good, pork entree fair, chicken good.",4,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The has such a great taste to it.  I had eaten there before and it was good. Maybe they had an off night but I wont go back there.,2,no majority,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Had the pork belly confit and the steak tartare. Both were excellent. Music was at a nice volume and very relaxing.,5,Positive,unknown,unknown,Positive,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
I love this idea and clearly the chef is very talented. A fantastic concept for brunch. The renovation of the space was awesome.,no majority,Positive,Positive,unknown,unknown,unknown,unknown,unknown,Positive,unknown,Positive,unknown,unknown,unknown
Food is very good value for what it is and wine list is comfy with several good options.,4,Positive,unknown,unknown,unknown,unknown,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown
I was so disappointed in Aria. It has such great potential-a great location and great atmosphere-but the food was not good at all and the service was super slow. Do not recommend it.,2,Negative,Positive,Negative,unknown,unknown,unknown,Positive,unknown,Negative,unknown,unknown,unknown,unknown
"We had an awesome meal. I ate at Craftsteak and was somewhat disappointed and was somewhat reluctant to try Craft. It was too loud and I could barely hear our server. However, this restuarant was everything you can ask for. We highly recommend it.",4,Positive,unknown,unknown,Negative,Positive,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
The wait staff weas great and attentive...cleaning our table and asked us how we were doing. They made it possible to sustain a quiet conversation as well!,5,unknown,unknown,Positive,unknown,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown
Warm Mushroom Soup and Seared Scallops were amazing! Most memorable service. It was very bright and the plants made it feel refreshing. I will be returning to try the tasting menu.,5,Positive,Positive,Positive,unknown,Positive,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"Good, affordable food but very poor service.",3,Positive,unknown,Negative,unknown,unknown,Positive,unknown,Positive,Negative,unknown,unknown,unknown,unknown
"The tables are way too close together; you are effectively sitting in the conversations on either side of you if you are at a table for 2. Food good, but overpriced. Wine overpriced.",3,Positive,Negative,unknown,Negative,unknown,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown
So noisy! It's not fit for a date. There are only loud families and the waiters were terribly rude.,1,unknown,Negative,Negative,Negative,unknown,unknown,Negative,unknown,unknown,Negative,unknown,unknown,Positive
"fantastic until the music started. WAY too loud. So I gave ambiance, overall, and noise (calling it energetic is much too kind) a not so hot rating....",2,unknown,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown
Disappointing after all the newspaper and other reviews.... but the food was to die for!,3,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Each time we've eaten at La Madia we've said we'd never go back because of the poor service.,2,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
I've been there a couple of times before and I liked it. I don't think I'll go back because the food for both my guests was mediocre but the service was great.,no majority,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Hello
I expected more from this restaurant. The pasta was decent, and the entree arrived over 30 minutes after the pasta, and it was burnt and way too salty.",2,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"We enjoyed the food. However, when booking the reservation I asked for a table by the window. Instead, we were seated at a table next to the emergency exit door. Terrible location but the interior was really nice and modern.",3,Positive,no majority,no majority,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
"Home style and southern inspired food with a twist. Probably not worth the price ($22-30 for entrees, total bill with starters, wine and desert can easily run $50 per person before tax and tip). But the service was very attentive and quick.",no majority,Negative,unknown,Positive,unknown,unknown,Negative,unknown,unknown,Positive,unknown,unknown,unknown,unknown
"average, very overpriced food. excellent service. would have been highly rated if it cost a hundred dollars less.",no majority,Negative,unknown,Positive,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The only downside, overpriced special entrees (langoustines seemed to go up in price every time I have been there. But they are mighty good.",3,no majority,unknown,unknown,unknown,unknown,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"It was okay. BUT, I did not order a 2nd Pepsi. A second was automatically provided and I was charged for it. BAD form. I was with my boss and he was paying!!!!",no majority,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
This is the first time we have been disappointed at Bacco after countless visits but the server made it right.,3,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
